,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.4_Dike Investment Costs,A.4_Expected Annual Damage,A.4_Expected Number of Deaths,A.5_Dike Investment Costs,A.5_Expected Annual Damage,A.5_Expected Number of Deaths,Expected Evacuation Costs,Other.Dikes_Expected Annual Damage,Other.Dikes_Total Dike Investment Costs,Other.Dikes_Expected Number of Deaths
10,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,2,2,6,2,3,4,4,9,0,2,5,1,1,4,8,27167070.070984066,0.0,0.0,116884342.30008763,1152934.905380468,0.00037027520272317114,34.20904924921129,0.0,376512000.9887169,0.0
11,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,5,3,2,5,0,1,10,6,10,0,4,10,2,8,1,33011826.35863754,815166.0075921011,0.00014052620134928135,114446163.23131949,3311572.348991993,0.0010708749816560402,125.32508500089531,0.0,421240781.97806543,0.0
12,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,2,1,2,4,4,8,3,6,1,6,6,1,0,10,10,2,20319063.206658736,0.0,0.0,193587756.26772442,0.0,0.0,0.0,0.0,438031734.0299218,0.0
13,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,5,10,4,4,4,0,2,10,0,6,1,1,5,7,3,28315898.150827937,0.0,0.0,134379082.50360245,0.0,0.0,0.0,0.0,429531552.0805043,0.0
14,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,3,2,3,8,4,6,10,2,6,7,0,2,4,5,9,8,17701182.393370774,1232270.4242841138,7.245342338785488e-05,177079838.35014418,0.0,0.0,84.72171285433035,0.0,541441797.0940639,0.0
15,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,4,0,5,3,5,0,7,1,7,4,8,0,3,1,1,7,27169299.885837637,0.0,0.0,98195347.52902988,15428998.688076787,0.0016596681599450693,1097.148284410133,0.0,340374547.6253071,0.0
16,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,2,7,5,0,1,5,4,10,10,9,5,5,1,5,66732211.92516727,0.0,0.0,111162838.60253373,0.0,0.0,0.0,0.0,334641532.27426153,0.0
17,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,6,9,0,8,3,6,4,5,9,0,6,8,6,5,0,32293439.297215313,1648661.1499654464,0.0007997527929730663,85142397.97480127,0.0,0.0,0.0,0.0,518770865.01111937,0.0
18,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,2,6,4,2,10,3,6,5,4,0,3,2,3,1,2,1,26562940.128449157,0.0,0.0,81250361.8241577,10759482.019503722,0.0014446763710562176,528.4990733619544,0.0,500111722.2912335,0.0
19,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,9,0,0,0,0,1,6,1,5,5,1,4,5,6,0,30406578.084285047,0.0,0.0,84317877.34823732,0.0,0.0,533.1617903769126,20793422.794458415,216176219.13317215,0.006892784385261565
20,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,4,9,2,0,2,3,2,4,8,0,10,0,3,9,2,9,32213521.725695886,0.0,0.0,167294399.16995734,0.0,0.0,33.59081504948553,548992.8594654419,349364446.44325477,6.231957261202848e-05
21,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,10,9,1,2,10,10,10,0,8,9,7,1,0,0,8,48262091.11671945,0.0,0.0,48463701.69719181,44143616.60208917,0.03910444124049967,0.0,1981373.434016637,670928717.494942,0.0018786284794148967
22,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,3,4,9,10,3,6,1,9,5,7,0,5,9,0,1,5,32532068.434506934,1219691.3768181172,7.115365937641844e-05,62967163.32200457,6156937.746637663,0.0006505251157624981,494.39134646304655,558761.13737891,599573893.489141,6.444571528675245e-05
23,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,4,9,2,10,4,1,1,0,8,4,2,0,2,2,2,1,15173808.632728375,161073.91669129708,1.0475804351588579e-05,85712229.06212911,0.0,0.0,324.3869803661882,6117261.094445981,487487442.60243076,0.0012648615081396531
24,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,8,3,9,7,9,1,10,6,8,4,0,0,6,9,0,9695195.36216505,0.0,0.0,105251142.62461421,0.0,0.0,0.0,0.0,659645877.7704735,0.0
25,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,5,0,1,4,10,5,0,8,7,4,6,6,0,4,0,41704940.58229576,0.0,0.0,33377116.55719709,18613558.468179513,0.016426850273564175,0.0,6117261.094445981,437003381.8219133,0.010540512567830446
26,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,4,6,1,4,7,8,10,1,7,7,6,1,9,3,52451265.1014088,0.0,0.0,122438242.5760861,0.0,0.0,0.0,4776926.156209189,429755358.22394013,0.004425467875985559
27,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,2,7,5,3,2,5,4,1,2,4,1,4,10,1,0,3,40460669.02125585,0.0,0.0,56425877.743436806,0.0,0.0,0.0,0.0,446010187.9495367,0.0
28,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,3,1,2,0,8,3,3,5,0,9,6,10,7,5,7,7,61938240.38959241,0.0,0.0,155095086.58482668,0.0,0.0,0.0,0.0,361169794.75632954,0.0
29,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,2,3,8,4,8,6,6,4,10,0,3,0,5,0,8,8453407.696608048,2619661.347293135,0.00046493057185676887,94006162.86541712,0.0,0.0,86.92403894053417,0.0,543486023.0473063,0.0
30,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,4,0,9,9,9,1,1,3,5,7,4,2,3,1,0,0,28423546.01246352,0.0,0.0,25037214.086173728,32278446.058511168,0.003467223290534921,2298.0383237009214,0.0,496721153.2665526,0.0
31,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,3,7,6,5,6,3,0,5,3,1,9,0,1,6,2,10,26696770.02353885,0.0,0.0,150129654.1935759,0.0,0.0,0.0,0.0,437048453.79146594,0.0
