,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
28,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,3,2,9,10,4,8,5,7,7,2,1,2,0,9,7,8,266081345.54704252,0.0,235241289.47969905,0.0,112999944.14175674,0.0,16141429.746097745,0.00014246522287420072,195877040.45883232,0.0,702800000.0,144.38748776435125
29,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,3,9,0,9,8,1,5,5,1,4,7,7,7,0,10,0,200635768.54993573,0.0,211705028.0878766,0.0,85111968.19066577,0.0,55132637.76085901,0.0,68243174.61960685,0.0010685212333055672,1638600000.0,620.4034579648863
30,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,4,5,4,3,7,9,8,3,8,6,7,6,7,4,4,3,167798331.6592725,0.0,326308158.9819864,0.0,110876297.38135666,0.0,52258978.91749231,0.0,111267277.73695117,0.0,914500000.0,0.0
31,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,2,10,8,3,1,6,2,1,0,9,6,0,1,2,1,253163071.10653007,0.0,166309955.78208727,0.0002162011154869935,48446713.72897132,0.0029178098647351797,35174846.225991,0.0,81250361.8241577,0.0,1274800000.0,109.7563511007861
32,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,2,8,2,5,5,9,1,6,2,0,5,4,0,6,7,170990451.80415982,0.0,255617814.92873305,0.0,87593172.37631568,0.011870541501431069,24441927.538059436,0.000899914888379953,118078848.89526954,0.02097660458758294,1184300000.0,0.0
33,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,2,9,10,1,4,7,1,0,8,1,1,3,3,9,9,1,275860440.7788912,0.0,192567114.86569905,0.0,63844492.59147088,0.0,25842204.974230535,8.727827314358596e-05,170822969.73716813,0.0,1023900000.0,58.201527707834124
34,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,8,2,3,0,2,2,8,10,5,6,8,8,6,10,8,184223705.77833694,0.0,104634468.49951285,0.005336556016549532,147862262.3199085,0.0,58077924.27520206,0.0,194409238.65408403,0.0,577200000.0,410.1990346131578
35,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,3,9,8,10,10,8,6,2,2,7,8,1,7,7,1,3,356881928.449842,0.0,334181105.3058233,0.0,86168639.93730763,0.00024364462680088653,43676485.05355934,0.0,115581377.23133813,0.0,710400000.0,48.909769438112356
36,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,2,2,4,1,3,0,9,9,7,7,5,10,3,3,8,4,128426618.71875435,0.0,147378844.74942005,0.0,145497992.4270514,0.0,49175325.893478766,0.0,139015977.18550923,0.0009212602256716947,619900000.0,327.778869323329
37,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,4,3,9,9,9,4,3,2,4,5,1,9,4,6,4,10,264205782.60945028,0.0,236239988.68150455,0.0,85637245.55941087,0.0,39302769.0692709,4.033829963716919e-05,162514679.43789458,0.0,995500000.0,50.124583053097695
38,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0,3,1,1,0,6,9,10,3,9,2,9,9,0,10,78453877.84187987,0.0,122215969.73342898,0.0022055604587491286,146254238.55516928,0.0,54322443.20440543,0.0,131832935.02354917,0.0,550900000.0,663.1212647831181
39,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,4,0,9,2,6,0,8,6,5,4,4,5,6,5,3,4,135674464.19102705,0.0,165476520.6102822,0.0,104839363.0891209,0.0,39386978.83963405,0.0,116251007.40722865,0.0,1005200000.0,0.0
40,0,0,1,1,0,1,0,1,1,1,0,1,1,1,0,4,4,2,1,6,8,2,7,2,6,0,10,0,4,7,7,130459909.52246656,0.0,234013146.2154889,0.0,104753225.25215748,0.0,21365838.940552786,5.657563209076073e-05,147882771.10991183,0.0,1336200000.0,79.87987349199236
41,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,3,1,3,3,10,0,6,4,2,4,1,7,4,7,5,6,124806693.77081512,0.0,191944887.81282952,0.0,84060844.89129023,0.0,35058854.735552885,8.274965990885215e-05,150869268.9815839,0.0,876000000.0,84.34787304581032
42,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,2,9,0,5,10,10,4,7,3,6,8,4,1,8,0,9,158294686.255607,0.0,343279244.6201639,0.0,108773550.42496385,0.0,38253795.54135914,0.0,117957714.22171766,0.0,997200000.0,0.0
43,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,2,1,7,4,9,2,9,0,3,7,0,10,8,10,8,147588218.69105962,0.0,222568006.88885653,0.0,73351466.17382371,0.0,40051137.604525074,0.0,213313132.325326,0.0,1166400000.0,0.0
44,1,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,7,0,0,5,4,10,6,8,5,9,5,2,5,8,7,68139002.95605196,0.0,257197962.86917984,0.0,123107471.02481982,0.0,44857240.52403349,0.0,162406518.63618976,0.0,1139900000.0,0.0
45,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,3,3,2,8,10,4,6,9,3,5,7,7,2,0,2,1,173754809.38654006,0.0,279906190.6807129,0.0,116451325.37911996,0.0,44040927.70340644,0.0,56601114.61970256,0.0002369542188597611,1457400000.0,139.0404646675857
46,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,2,10,9,7,6,1,1,2,0,7,4,7,3,4,3,8,343438801.37121844,0.0,161218867.4218822,0.0,58768098.74581756,0.0,38241786.17500833,0.0,129409140.66316271,0.0,1623000000.0,0.0
47,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,3,7,6,8,4,8,7,6,8,6,9,1,10,6,1,3,263047872.6385459,0.0,256052118.28540248,0.0,127269761.44905394,0.0,55221370.30205554,0.0,109302753.31053056,0.0,862300000.0,0.0
48,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,4,2,7,6,2,10,3,3,6,8,5,0,7,0,4,0,192287243.85379863,0.0,223267516.3791806,0.0002736222471107181,109377315.24468857,0.0,27939401.706900492,0.0,38474966.46346068,0.0005371182142468325,877900000.0,515.746232578204
49,0,1,1,1,0,1,0,1,0,1,1,0,0,1,1,3,1,3,8,4,4,5,10,6,7,8,2,9,5,0,7,163706276.09551322,0.0,192124581.04450518,0.0,146736248.47484955,0.0,51091881.88370487,0.0,88954800.96600011,0.0,1390100000.0,0.0
50,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,4,1,2,6,3,1,7,1,10,3,0,8,4,0,10,10,138379858.76624286,0.0,174005821.0085956,0.0,101043492.13224283,0.0,29775547.213951267,5.657563209076073e-05,144683303.26092827,0.0005371182142468325,1287600000.0,448.6518466488794
51,0,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,8,1,10,9,6,6,0,6,5,6,5,0,10,4,2,247766836.40331405,0.0,288684190.5116191,0.0,77815197.14420652,0.006973925236492332,26127534.665142894,0.0,149025190.85112476,0.0,1561600000.0,236.24447769732387
52,0,1,0,0,0,1,1,0,1,1,1,1,0,0,1,3,9,10,8,6,0,6,9,10,10,10,0,1,10,1,8,358422742.31021416,0.0,146841946.52894095,0.0,184155383.03283918,0.0,29229280.98454815,0.0,163346697.60184848,0.0,983500000.0,0.0
53,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,3,0,0,6,8,0,9,8,0,8,3,8,10,9,4,42291505.65437629,0.0,165476520.6102822,0.0,91059524.12486935,0.0,50481409.54911074,0.0,195698990.37685886,0.0,1049400000.0,0.0
54,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,4,5,5,2,7,4,3,6,10,3,1,0,9,4,0,182614739.10721666,0.0,194029936.16707087,0.0005643286230388443,118754290.87425852,0.0,15444563.06553661,0.0,98276657.88104485,0.0,1207400000.0,0.0
55,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,7,7,1,4,8,7,9,5,6,9,9,5,3,0,8,206678445.68097684,0.0,256052118.28540248,0.0,129834223.67662579,0.0,62960537.01721245,0.0,83955065.4233552,0.0,923800000.0,0.0
56,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,2,1,9,6,5,6,10,3,6,0,5,2,1,5,7,1,205836923.3913095,0.0,281566013.24759847,0.0,58926842.49039639,0.0,27738992.754302613,0.0,126425650.3717125,0.0,775400000.0,0.0
57,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,8,0,6,7,10,2,10,7,1,2,8,4,8,4,3,155741221.70579833,0.0,275036483.9272252,0.0,128040248.00716057,0.0,38127582.65654197,0.0,137558383.45716655,0.0,1049400000.0,0.0
58,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,2,9,9,5,0,10,7,6,0,1,10,0,2,4,5,7,299453274.24628174,0.0,209812416.40114164,0.001064522835763049,56232105.137590505,0.0,30644404.427416287,0.0,135128089.50482675,0.0,1215000000.0,327.3379907894946
59,0,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,8,3,10,7,0,6,4,4,7,5,0,7,0,1,7,269268127.00839436,0.0,156873190.62123483,0.0,101380159.06922092,0.0,27939401.706900492,0.0,111978664.9801006,0.01322335075166633,1440400000.0,1225.163126703424
60,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,4,1,7,1,7,6,1,10,8,3,5,5,6,10,10,8,145940066.0722279,0.0,216066944.14176592,0.0,140693267.66875386,0.0,41775148.81066066,0.0,234484636.60208157,0.0,747000000.0,0.0
61,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,5,7,0,3,1,9,10,4,3,4,5,10,1,8,7,134576627.39671084,0.0,193081303.9834115,0.0,119894500.94180296,0.0,49938309.26744591,0.0,148397170.176894,0.012039656720669912,910300000.0,0.0
62,1,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,10,3,7,2,3,1,1,0,10,1,1,2,6,6,154287485.51802808,0.0,192223742.738094,0.0,41292219.28177295,0.0,38376462.78063607,0.0,123345108.08767249,0.0,1164700000.0,0.0
63,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,4,1,10,9,3,6,1,2,8,3,1,3,8,2,6,0,254442931.5386346,0.0,172641808.18109342,0.0,95905766.30418555,0.0,34132581.77663923,3.9542705301897725e-05,70651299.48955701,0.0,642800000.0,49.85563468644281
64,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,4,6,1,4,0,3,6,6,4,7,6,7,7,3,1,2,161250294.9980649,0.0,128545916.32472022,0.0008428737214992357,111587165.10475199,0.0,52106993.465831816,0.0,89589437.84417686,0.0,1080100000.0,472.69886448085964
65,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,4,4,9,6,8,5,0,4,6,9,5,6,9,9,6,2,239352618.1720796,0.0,159009199.8289076,0.0,119144733.07917503,0.0,52215061.60019758,0.0,153259457.6911442,0.0,569600000.0,0.0
66,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,3,8,2,6,3,5,4,0,8,1,9,5,8,3,0,6,210007656.8411526,0.0,183367572.6956553,0.0,64955832.28056731,0.0002298280668698915,58905746.27364333,0.0,74896439.20493636,0.0,1068100000.0,48.652729611296095
67,0,0,1,0,1,1,0,0,1,0,1,0,1,1,1,1,5,7,3,7,7,9,6,0,0,8,8,10,5,9,6,197870356.2461632,0.0,310115649.08221686,0.0,31398797.71871161,0.0,72081531.78708102,0.0,163970596.35811847,0.0,1440400000.0,0.0
68,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,4,7,3,0,10,3,7,3,0,9,2,4,7,4,10,7,121644599.3504275,0.0,279947285.04054135,0.0,69113893.35624374,0.0,35332135.2471797,1.2204748450097978e-05,170660122.29853994,0.0,825700000.0,13.326809481913788
69,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,7,3,6,0,5,0,1,1,9,10,7,9,1,2,158496200.4885197,0.0,138724961.8150669,0.0,45693462.09131995,0.0027274795742682806,72729886.04650332,0.0,125583209.59912494,0.0,1505400000.0,93.52679661198101
70,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,4,8,7,1,9,10,9,8,8,4,9,1,0,7,0,10,219572542.14170673,0.0,395055324.3361579,0.0,131268307.50785872,0.0,26696770.02353885,0.0,117796359.25139299,0.0,922300000.0,0.0
71,1,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,2,7,7,0,10,8,3,2,3,10,7,7,10,1,146588659.25632885,0.0,199231178.49219424,0.0,101025867.78660768,0.0,53073037.06500058,0.0,162121998.84548092,0.0,1390100000.0,0.0
72,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,8,9,2,7,10,2,9,2,6,7,4,6,5,0,0,253814666.5249044,0.0,275036483.9272252,0.0,116043325.58031033,0.0,44742206.00051556,0.0,36676675.840294495,0.0,1012800000.0,0.0
73,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,7,1,7,8,3,0,3,3,5,5,4,7,10,7,10,198655966.29970902,0.0,143874485.18893084,0.0,86193162.96060148,0.0,41835047.90230821,0.0,223013670.25704244,0.0,1116700000.0,0.0
74,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,9,2,1,6,4,1,10,8,7,0,6,2,10,4,8,182989074.59820265,0.0,184839663.22206262,0.0,159045207.06139097,0.0,28184567.394698568,0.0012056519974499302,182455193.6680717,0.0,666200000.0,215.8146717577274
75,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,3,10,0,0,2,1,5,7,9,5,7,9,1,8,8,10,95107331.23784721,0.0,150709464.5315802,0.00014477656436813135,134898366.79710662,0.0,48037384.752243474,0.0,211465475.07636937,0.0,1128100000.0,66.97647422528675
76,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,4,9,5,3,2,1,9,9,3,8,3,8,6,5,183040188.340405,0.0,172028317.80878067,0.0,129187116.3803708,0.0063614587146460545,38504158.78210369,0.0,159863456.34886578,0.0,845300000.0,209.61811718798992
77,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,3,8,4,1,10,1,7,1,7,6,2,3,7,8,1,5,187834420.29584754,0.0,259142155.93816715,0.0,104264341.09807242,0.0015759062643623631,33243708.884238053,0.0,130849524.88318208,0.0,577200000.0,322.3407201434601
78,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,4,6,1,6,2,2,4,1,8,9,2,7,10,8,9,163050713.55821392,0.0,174450713.08138555,0.0,93728561.50218844,0.0,48703965.01871744,0.0,223239460.56386492,0.0,893000000.0,0.0
79,1,0,1,0,0,1,1,0,0,1,0,1,1,1,0,2,2,8,1,8,1,0,3,1,5,7,7,5,4,5,10,164609043.05061477,0.0,131317077.63893835,0.0,79591223.60465036,0.0,50022004.30424159,0.0,154048674.36252812,0.0,1172300000.0,0.0
80,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,3,1,8,5,4,9,10,3,10,3,1,1,9,10,2,10,184631519.80399942,0.0,310336038.8494568,0.0,110554714.82673639,0.0,33554452.877958044,8.182674705480209e-05,183835422.0386595,0.0,793300000.0,83.67168812952123
81,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,2,5,0,10,4,3,4,0,2,9,7,9,0,0,8,6,166478450.24921525,0.0,175590686.05903777,0.0,127680309.44334814,0.016314376093409348,37216848.52139987,0.0,111469067.99306664,0.001367675717923935,776300000.0,2662.740090005246
82,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,2,5,1,3,7,9,0,3,10,2,6,2,5,3,8,6,144386177.4180255,0.0,187169896.6435016,0.0,107412457.82958692,0.0,36038529.368792966,0.0,143818783.76197907,0.000214660709083532,974500000.0,76.96631387303343
